# imagen	song	score	tipo	nivel	validado
752107057_3109154799284131_7440322792602840071_n.jpg	Enjoy The Show	991013	d	23	1
752488700_3110237195842558_8613526301335210037_n.jpg	The Last Rebellion	975862	d	25	1
753164113_3109261529273458_3269680644314744759_n.jpg	QUATTUORUX	897837	d	26	1
753241673_3109584412574503_876410147801455554_n.jpg	Gargoyle - FULL SONG -	991755	s	23	1
753288109_3107153722817572_4865296228075811178_n.jpg	The Last Rebellion	992985	s	21	1
761280300_3118156995050578_5499502110109645766_n.jpg	The Last Rebellion	980427	d	25	1
776222360_3134118836787727_5821430833079145629_n.jpg	Final Audition Ep. 2-2	993568	d	23	1
777298009_3134975063368771_5717026007798408244_n.jpg	Shub Niggurath	957163	d	26	1
779134148_3134173766782234_9061778989615872243_n.jpg	Viyella's Nightmare	992329	s	23	1
781293045_3137217116477899_8186265990561119751_n.jpg	Aragami	949199	d	26	1
783452784_3137840413082236_1944345023354925504_n.jpg	Super Akuma Emperor	1000000	s	22	1
786342964_3144958145703796_3799882826124502448_n.jpg	FREEDOM DiVE	970681	s	25	1
786616707_3144993659033578_5099906613531166286_n.jpg	Shub Sothoth	967831	s	25	1
791130090_3149084058624538_4814868641329831161_n.jpg	Ghroth	981195	d	25	1
791246555_3148649575334653_693589519763975338_n.jpg	Telling Fortune Flower	990697	s	23	1
792807169_3150090535190557_167819475386793100_n.jpg	Dead End	875075	d	28	1
793337091_10231433123440673_948437208188655242_n.jpg	Mahika	971105	s	22	1
794394831_10231433122480649_8245657202698097816_n.jpg	Crimson hood	944793	s	24	1
794484938_10231433120080589_5646765063739263255_n.jpg	Cleaner	987127	s	21	1
794560971_10231433126800757_6371343794215583041_n.jpg	ERRORCODE: 0	964810	s	23	1
797336855_3163243847208559_5933771732280846040_n.jpg	OVERNIGHT FLOWER	990882	d	24	1
800074111_970174286101848_6337554915377515647_n.jpg	iRELLIA	982376	s	22	1
800116787_970174099435200_2319647429412901534_n.jpg	Hello William	966997	s	19	1
800811945_970174319435178_7792595958611715207_n.jpg	VECTOR	965362	s	22	1
800819184_970174192768524_1197929818690819197_n.jpg	Athena's Shield	997040	s	19	1
800819204_970174059435204_4685162326294953905_n.jpg	The Last Rebellion	997612	s	19	1
800827637_970174352768508_8185071998741546800_n.jpg	BLAZOR	947878	s	22	1
800843189_970174139435196_1320416016849265993_n.jpg	Caprice of Otada	981598	s	19	1
806129214_2283103515822264_6270734686053823281_n.jpg	L (PIU Edit)	918113	d	24	1
806473736_2283103542488928_8547605411497744792_n.jpg	Rock the house	905003	d	22	1
806473760_2283103405822275_951946185397885977_n.jpg	Digitalis	946061	d	24	1
808138261_970174222768521_5369765882199460663_n.jpg	Smile Diary	984265	s	19	1
808138267_970174252768518_6538318020975727869_n.jpg	Conflict	988264	s	19	1
810623519_3162188783980732_1998106931107564672_n.jpg	Super Akuma Emperor	992237	s	24	1
813020855_3163211883878422_7868697834925121591_n.jpg	Dead End	976268	s	25	1
813282274_3163237170542560_2816170267688761032_n.jpg	L (PIU Edit)	984798	s	24	1
814338537_10231433125040713_6229281902451332653_n.jpg	That Kitty (PIU Edit.)	958180	s	23	1
814779632_10231433124320695_227545632473398281_n.jpg	Catastrophe	994796	s	21	1
814785672_10231433119120565_7400050866881396941_n.jpg	+DOOF+SENC+	995683	s	18	1
PXL_20260723_022616689.RAW-01.jpg	Cynical	990892	d	23	1
PXL_20260727_233751351.RAW-01.jpg	Do the Dance	1000000	s	15	1
PXL_20260815_053046088.RAW-01.jpg	The Last Rebellion	933570	d	23	1
PXL_20260822_205020911.RAW-01.jpg	FREEDOM DiVE	830064	d	27	1
PXL_20260822_205910779.RAW-01.jpg	INFINITE ENERGY	994024	d	25	1
PXL_20260831_135058750.RAW-01.jpg	BLAZOR	995757	s	20	1
PXL_20260831_142604038.RAW-01.jpg	Imprinting	974253	d	24	1
PXL_20260910_005306710.RAW-01.jpg	The Stranger	997611	d	16	1
PXL_20260910_005308807.RAW-01.jpg	The Stranger	997611	d	16	1
WhatsApp Image 2026-07-28 at 18.55.23.jpeg	Dizzy Dance, Street Light	970763	s	18	1
WhatsApp Image 2026-08-05 at 20.32.04.jpeg	Bluish Rose	973583	s	20	1
WhatsApp Image 2026-08-07 at 17.44.15.jpeg	Bang bang	891043	s	21	1
WhatsApp Image 2026-08-07 at 17.48.41.jpeg	404 (New Era)	928067	s	18	1
WhatsApp Image 2026-08-07 at 18.01.59.jpeg	Digitalis	905772	s	18	1
WhatsApp Image 2026-08-07 at 20.37.04.jpeg	NightTheater	918901	s	21	1
WhatsApp Image 2026-08-08 at 13.52.37.jpeg	Extreme Music School 2nd period feat. Nanahira	886074	s	24	1
WhatsApp Image 2026-08-10 at 10.19.52.jpeg	BANG BANG	930214	s	21	1
WhatsApp Image 2026-08-23 at 14.56.22.jpeg	Mopemope	995516	s	15	1
WhatsApp Image 2026-08-29 at 18.18.02.jpeg	Crash-Landing Rendezvous	981295	d	17	1
WhatsApp Image 2026-08-31 at 20.38.29.jpeg	Super Capriccio	942861	s	16	1
WhatsApp Image 2026-09-13 at 19.19.06.jpeg	The Devil	811308	s	20	1
WhatsApp Image 2026-09-14 at 16.53.40.jpeg	Can I friend you?	937272	s	19	1
WhatsApp Image 2026-09-14 at 17.20.39.jpeg	Ghost Bloody Train	939213	s	21	1
WhatsApp Image 2026-09-14 at 18.48.49.jpeg	CALL ME BACK	914165	d	22	1
